,DN,nome,ano,area,classificação
349,13,Doce,2021,41345.0,Não-Antrópico
350,13,Jequitinhonha,2008,37850.0,Não-Antrópico
351,13,Jequitinhonha,2021,154805.0,Não-Antrópico
352,13,Mucuri,2008,23825.0,Não-Antrópico
353,13,Mucuri,2021,42543.0,Não-Antrópico
354,13,Paranapanema,2008,12282.0,Não-Antrópico
355,13,Paranapanema,2021,4909.0,Não-Antrópico
356,13,Paraíba do Sul,2008,6662.0,Não-Antrópico
357,13,Paraíba do Sul,2021,39976.0,Não-Antrópico
358,13,São Francisco,2021,22715.0,Não-Antrópico
359,13,Tietê,2008,37850.0,Não-Antrópico
360,15,Antas,2008,3373659.0,Antrópico
361,15,Antas,2021,2569851.0,Antrópico
362,15,Araguari,2008,3934060.0,Antrópico
363,15,Araguari,2021,434454.0,Antrópico
364,15,Capivari,2008,851046.0,Antrópico
365,15,Capivari,2021,200232.0,Antrópico
366,15,Correntes,2008,1176847.0,Antrópico
367,15,Correntes,2021,793669.0,Antrópico
368,15,Curruá Una,2008,11493925.0,Antrópico
369,15,Curruá Una,2021,7740808.0,Antrópico
370,15,Doce,2008,296411818.0,Antrópico
371,15,Doce,2021,233672464.0,Antrópico
372,15,Grande,2008,162422134.0,Antrópico
373,15,Grande,2021,173765979.0,Antrópico
374,15,Iguaçu,2008,46533290.0,Antrópico
375,15,Iguaçu,2021,33855877.0,Antrópico
376,15,Itabapoana,2008,46460162.0,Antrópico
377,15,Itabapoana,2021,15668832.0,Antrópico
378,15,Itajaí-Açú,2008,4266922.0,Antrópico
379,15,Itajaí-Açú,2021,4347878.0,Antrópico
380,15,Itiquira,2008,325830.0,Antrópico
381,15,Itiquira,2021,1433667.0,Antrópico
382,15,Jacuí,2008,2622430.0,Antrópico
383,15,Jacuí,2021,1433667.0,Antrópico
384,15,Jari,2008,1174574.0,Antrópico
385,15,Jari,2021,417459.0,Antrópico
386,15,Jauru,2008,2979578.0,Antrópico
387,15,Jauru,2021,1004479.0,Antrópico
388,15,Jequitinhonha,2008,98676284.0,Antrópico
389,15,Jequitinhonha,2021,113097161.0,Antrópico
390,15,Madeira,2008,783602257.0,Antrópico
391,15,Madeira,2021,611622484.0,Antrópico
392,15,Manso,2008,1044261.0,Antrópico
393,15,Manso,2021,1516263.0,Antrópico
394,15,Mucuri,2008,34757833.0,Antrópico
395,15,Mucuri,2021,23789651.0,Antrópico
