,DN,nome,ano,area
510,23,Uruguai,2008,16370.0
511,23,Uruguai,2021,16370.0
512,24,Antas,2008,189669.0
513,24,Antas,2021,242215.0
514,24,Araguari,2008,8939.0
515,24,Araguari,2021,14303.0
516,24,Capivari,2008,22679.0
517,24,Capivari,2021,29164.0
518,24,Curruá Una,2008,46432.0
519,24,Curruá Una,2021,50897.0
520,24,Doce,2008,6208297.0
521,24,Doce,2021,7883574.0
522,24,Grande,2008,6838377.0
523,24,Grande,2021,9449424.0
524,24,Iguaçu,2008,2855358.0
525,24,Iguaçu,2021,4393022.0
526,24,Itabapoana,2008,1657911.0
527,24,Itabapoana,2021,457665.0
528,24,Itajaí-Açú,2008,1090015.0
529,24,Itajaí-Açú,2021,1390454.0
530,24,Itiquira,2008,6840.0
531,24,Itiquira,2021,207014.0
532,24,Jacuí,2008,131435.0
533,24,Jacuí,2021,207014.0
534,24,Jari,2008,738334.0
535,24,Jari,2021,720456.0
536,24,Jequitinhonha,2008,597678.0
537,24,Jequitinhonha,2021,830419.0
538,24,Madeira,2008,3966832.0
539,24,Madeira,2021,4707410.0
540,24,Manso,2008,6052.0
541,24,Manso,2021,16426.0
542,24,Mucuri,2008,385045.0
543,24,Mucuri,2021,484745.0
544,24,Paraguaçu,2008,445252.0
545,24,Paraguaçu,2021,740461.0
546,24,Paranapanema,2008,2420775.0
547,24,Paranapanema,2021,3704072.0
548,24,Paranaíba,2008,3984072.0
549,24,Paranaíba,2021,5360613.0
550,24,Paraná,2008,2500481.0
551,24,Paraná,2021,4255474.0
552,24,Paraíba do Sul,2008,15556311.0
553,24,Paraíba do Sul,2021,18220716.0
554,24,Parnaíba,2008,3516009.0
555,24,Parnaíba,2021,4214460.0
556,24,São Francisco,2008,9978250.0
557,24,São Francisco,2021,13766330.0
558,24,Tapajós,2008,1842517.0
559,24,Tapajós,2021,2832145.0
560,24,Tietê,2008,597678.0
561,24,Tietê,2021,25428030.0
562,24,Tocantins,2021,8759609.0
563,24,Uruguai,2008,2670581.0
564,24,Uruguai,2021,3969292.0
565,24,Xingú,2008,790928.0
566,24,Xingú,2021,1261400.0
567,25,Antas,2008,550215.0
568,25,Antas,2021,910047.0
569,25,Capivari,2008,77785.0
570,25,Capivari,2021,90743.0
571,25,Correntes,2008,304606.0
572,25,Correntes,2021,157892.0
573,25,Doce,2008,5097056.0
574,25,Doce,2021,10642716.0
575,25,Grande,2008,6042167.0
576,25,Grande,2021,18459401.0
577,25,Iguaçu,2008,4032363.0
578,25,Iguaçu,2021,9546377.0
579,25,Itabapoana,2008,632864.0
580,25,Itabapoana,2021,206215.0
581,25,Itajaí-Açú,2008,228550.0
582,25,Itajaí-Açú,2021,512999.0
583,25,Itiquira,2008,70965.0
584,25,Itiquira,2021,4041822.0
585,25,Jacuí,2008,650760.0
586,25,Jacuí,2021,4041822.0
587,25,Jequitinhonha,2008,6190994.0
588,25,Jequitinhonha,2021,9266144.0
589,25,Madeira,2008,559955.0
590,25,Madeira,2021,77651.0
591,25,Manso,2008,405485.0
592,25,Manso,2021,3735802.0
593,25,Mucuri,2008,144868.0
594,25,Mucuri,2021,442246.0
595,25,Paraguaçu,2008,1306040.0
596,25,Paraguaçu,2021,1864145.0
597,25,Paranapanema,2008,3263574.0
598,25,Paranapanema,2021,21588401.0
599,25,Paranaíba,2008,7414598.0
600,25,Paranaíba,2021,24303245.0
601,25,Paraná,2008,8328524.0
602,25,Paraná,2021,21408553.0
603,25,Paraíba do Sul,2008,5693696.0
604,25,Paraíba do Sul,2021,6263877.0
605,25,Parnaíba,2008,34486410.0
606,25,Parnaíba,2021,48774271.0
607,25,São Francisco,2008,61155084.0
608,25,São Francisco,2021,115328410.0
609,25,Tapajós,2008,3256198.0
610,25,Tapajós,2021,1781846.0
611,25,Tietê,2008,6190994.0
612,25,Tietê,2021,11448036.0
613,25,Tocantins,2021,121046869.0
614,25,Uruguai,2008,42972639.0
